,,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Total,
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,, 
