,,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Total,
Insta Concession.com Total,,20,20,82,,,,,,,,,,122,Q1
Island Savoy Market,Guava Rose,2,2,,,,,,,,,,,4,Q1
,Guava Rose Probiotic,,,2,,,,,,,,,,2,Q3
,Mango Gold,3,3,1,,,,,,,,,,7,Q1
,Peach Ginger,3,3,,,,,,,,,,,6,Q1
,Peach Ginger Probiot,,,2,,,,,,,,,,2,Q3
,Pineapple Organic,,,4,,,,,,,,,,4,Q3
,Pineapple Paradise,4,4,,,,,,,,,,,8,Q1
,Rasp Lychee Organic,,,3,,,,,,,,,,3,Q3
,Strawberry Passion,3,3,,,,,,,,,,,6,Q1
,Strawberry Passn Org,,,2,,,,,,,,,,2,Q3
Island Savoy Market Total,,15,15,14,,,,,,,,,,44,Q1
Ladle & Leaf - 1 CAL,Guava Rose,3,3,,,,,,,,,,,6,Q1
,Guava Rose Probiotic,,,4,,,,,,,,,,4,Q3
,Mango Gold,2,2,4,,,,,,,,,,8,Q1
,Peach Ginger,3,3,,,,,,,,,,,6,Q1
,Peach Ginger Probiot,,,3,,,,,,,,,,3,Q3
,Pineapple Organic,,,2,,,,,,,,,,2,Q3
,Strawberry Passion,4,4,,,,,,,,,,,8,Q1
,Strawberry Passn Org,,,5,,,,,,,,,,5,Q3
Ladle & Leaf - 1 CAL Total,,12,12,18,,,,,,,,,,42,Q1
Ladle & Leaf - 580 CAL,Guava Rose,9,9,,,,,,,,,,,18,Q1
,Guava Rose Probiotic,,,3,,,,,,,,,,3,Q3
,Mango Gold,6,6,4,,,,,,,,,,16,Q1
,Peach Ginger,9,9,,,,,,,,,,,18,Q1
,Peach Ginger Probiot,,,5,,,,,,,,,,5,Q3
,Pineapple Organic,,,2,,,,,,,,,,2,Q3
,rasp Lychee Organic,,,0,,,,,,,,,,, 
,Strawberry Passion,7,7,,,,,,,,,,,14,Q1
,Strawberry Passn Org,,,6,,,,,,,,,,6,Q3
Ladle & Leaf - 580 CAL Total,,31,31,20,,,,,,,,,,82,Q1
Ladle & Leaf - Battery,Mango Gold,4,4,2,,,,,,,,,,10,Q1
,Peach Ginger,6,6,,,,,,,,,,,12,Q1
,Peach Ginger Probiot,,,4,,,,,,,,,,4,Q3
,Pineapple Organic,,,1,,,,,,,,,,1,Q3
,Strawberry Passion,5,5,,,,,,,,,,,10,Q1
,Strawberry Passn Org,,,4,,,,,,,,,,4,Q3
Ladle & Leaf - Battery Total,,15,15,11,,,,,,,,,,41,Q1
Ladle & Leaf - Crocker G,Guava Rose,5,5,,,,,,,,,,,10,Q1
,Guava Rose Probiotic,,,5,,,,,,,,,,5,Q3
,Mango Gold,3,3,4,,,,,,,,,,10,Q1
,Peach Ginger,7,7,,,,,,,,,,,14,Q1
,Peach Ginger Probiot,,,7,,,,,,,,,,7,Q3
,Strawberry Passion,4,4,,,,,,,,,,,8,Q1
,Strawberry Passn Org,,,5,,,,,,,,,,5,Q3
Ladle & Leaf - Crocker G Total,,19,19,21,,,,,,,,,,59,Q1
Ladle & Leaf - Montgomery,Guava Rose,4,4,,,,,,,,,,,8,Q1
,Guava Rose Probiotic,,,4,,,,,,,,,,4,Q3
,Mango Gold,2,2,1,,,,,,,,,,5,Q1
,Peach Ginger,3,3,,,,,,,,,,,6,Q1
,Peach Ginger Probiot,,,2,,,,,,,,,,2,Q3
,Strawberry Passion,3,3,,,,,,,,,,,6,Q1
,Strawberry Passn Org,,,3,,,,,,,,,,3,Q3
Ladle & Leaf - Montgomery Total,,12,12,10,,,,,,,,,,34,Q1
Ladle & Leaf - Oak Cty CT,Guava Rose,3,3,,,,,,,,,,,6,Q1
,Guava Rose Probiotic,,,8,,,,,,,,,,8,Q3
,Mango Gold,2,2,6,,,,,,,,,,10,Q1
,Peach Ginger,3,3,,,,,,,,,,,6,Q1
,Peach Ginger Probiot,,,7,,,,,,,,,,7,Q3
,Pineapple Organic,,,6,,,,,,,,,,6,Q3
,Strawberry Passion,3,3,,,,,,,,,,,6,Q1
,Strawberry Passn Org,,,7,,,,,,,,,,7,Q3
Ladle & Leaf - Oak Cty CT Total,,11,11,34,,,,,,,,,,56,Q1
Ladle & Leaf - SFO T3,Peach Ginger,59,59,,,,,,,,,,,118,Q1
,Peach Ginger Probiot,,,35,,,,,,,,,,35,Q3
,Pineapple Organic,,,57,,,,,,,,,,57,Q3
,Strawberry Passion,72,72,,,,,,,,,,,144,Q1
,Strawberry Passn Org,,,52,,,,,,,,,,52,Q3
Ladle & Leaf - SFO T3 Total,,131,131,144,,,,,,,,,,406,Q1
Ladle & Leaf - UCSF P,Guava Rose,23,23,,,,,,,,,,,46,Q1
,Guava Rose Probiotic,,,21,,,,,,,,,,21,Q3
,Mango Gold,18,18,12,,,,,,,,,,48,Q1
,Peach Ginger,17,17,,,,,,,,,,,34,Q1
,Peach Ginger Probiot,,,19,,,,,,,,,,19,Q3
,Pineapple Organic,,,19,,,,,,,,,,19,Q3
,Rasp Lychee Organic,,,13,,,,,,,,,,13,Q3
,Strawberry Passion,23,23,,,,,,,,,,,46,Q1
,Strawberry Passn Org,,,25,,,,,,,,,,25,Q3
Ladle & Leaf - UCSF P Total,,81,81,109,,,,,,,,,,271,Q1
Lick-Wilmerding High Sch,Guava Rose,3,3,,,,,,,,,,,6,Q1
,Guava Rose Probiotic,,,4,,,,,,,,,,4,Q3
,Mango Gold,6,6,5,,,,,,,,,,17,Q1
,Peach Ginger,4,4,,,,,,,,,,,8,Q1
,Pineapple Organic,,,3,,,,,,,,,,3,Q3
,Strawberry Passn Org,,,8,,,,,,,,,,8,Q3
Lick-Wilmerding High Sch Total,,13,13,20,,,,,,,,,,46,Q1
Market Tavern,Pineapple Organic,,,6,,,,,,,,,,6,Q3
,Pineapple Paradise,4,4,,,,,,,,,,,8,Q1
,Strawberry Passion,7,7,,,,,,,,,,,14,Q1
,Strawberry Passn Org,,,6,,,,,,,,,,6,Q3
Market Tavern Total,,11,11,12,,,,,,,,,,34,Q1
Market Tavern - Dublin,Peach Ginger,2,2,,,,,,,,,,,4,Q1
,Pineapple Organic,,,1,,,,,,,,,,1,Q3
,Pineapple Paradise,3,3,,,,,,,,,,,6,Q1
,Strawberry Passion,2,2,,,,,,,,,,,4,Q1
,Strawberry Passn Org,,,2,,,,,,,,,,2,Q3
Market Tavern - Dublin Total,,7,7,3,,,,,,,,,,17,Q1
Model Bakery The - Napa,Guava Rose,15,15,,,,,,,,,,,30,Q1
,Guava Rose Probiotic,,,12,,,,,,,,,,12,Q3
,Mango Gold,15,15,9,,,,,,,,,,39,Q1
,Peach Ginger,15,15,,,,,,,,,,,30,Q1
